date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-13 15:34:00,pasionensevilla,,0,0,3,"#MinutoPS | Las hermandades de esta jornada de la Semana Santa se vuelcan ante la crisis del coronavirus https://sevilla.abc.es/pasionensevilla/actualidad/noticias/las-hermandades-del-lunes-santo-recaudan-5-500-euros-particulares-accion-social-176017-1586712902.html #Coronavid_19",,,#MinutoPS #Coronavid_19,1249722512079908865,https://twitter.com/pasionensevilla/status/1249722512079908865
2020-04-13 13:16:33,alexdelbene,,0,0,0,"Tributo a las víctimas del coronavirus de la calle San Jorge en un domingo de Resurrección de una Semana Santa 2020 difícil de olvidar. #yorestoencasa #juntosloconseguiremos #sevilla #trianasevilla #triana2020… https://www.instagram.com/p/B-7CIFsIb7g/?igshid=1dg4jed30777h",,,#yorestoencasa #juntosloconseguiremos #sevilla #trianasevilla #triana2020,1249687923936710657,https://twitter.com/alexdelbene/status/1249687923936710657
2020-04-13 12:36:52,chirinbanda,,7,51,106,"RESUMEN 2020: LA SEMANA SANTA DEL CORONAVIRUS. Con todo mi cariño, dedicado a quienes nos hemos quedado sin aquello que más queremos, en especial, los músicos. Antes de que nos demos cuenta, la primavera estará llamando a nuestras puertas de nuevo. https://chirinbanda.blogspot.com/2020/04/resumen-2020-la-semana-santa-del.html",,,,1249677937734975489,https://twitter.com/chirinbanda/status/1249677937734975489
2020-04-13 11:58:47,chirinbanda,,1,5,13,"Mi cara al tratar de escribir un análisis sobre algo que no ha pasado. Me sobra la enfermedad y me faltan palilleras infernales. En 15 minutos tenéis el RESUMEN DE LA SEMANA SANTA DEL CORONAVIRUS. ",,,,1249668353712705536,https://twitter.com/chirinbanda/status/1249668353712705536
2020-04-13 09:18:40,diariosevilla,,0,2,2,"Coronavirus en #Sevilla: la #SemanaSanta concluye con 1.400 denuncias de la Policía Local #SevillaHoy",,,#Sevilla #SemanaSanta #SevillaHoy,1249628055708016642,https://twitter.com/diariosevilla/status/1249628055708016642
2020-04-13 05:41:12,yulienkagc,,0,0,0,"Hoy en #NingúnLugarSagrado hablo de la #pandemia y lo que vamos a aprender, o no, de ella. Gracias por leer. https://juliagonzalezcalderon.wordpress.com/2020/04/13/nuestros-pecados/ #cuarentena #coronavirus #covid19 #SemanaSanta #Pascua #DomingoDeResurrección",,,#Ning #pandemia #cuarentena #coronavirus #covid19 #SemanaSanta #Pascua #Pascua #DomingoDeResurrecci,1249573329087787008,https://twitter.com/yulienkagc/status/1249573329087787008
2020-04-13 02:25:06,dizzythebitch,,1,0,2,"Siento que gaga lanzaría una canción así toda religiosa oscura ahorita en semana santa y pailas mardito coronavirus. :(",,,,1249523980874252290,https://twitter.com/dizzythebitch/status/1249523980874252290
2020-04-12 22:23:26,RaulRamirez_83,,0,1,2,"Este año muchos cofrades y devotos han tenido que acercarse a sus cofradías o vivir los cultos y los oficios gracias a la tecnología. @Blogosur por ejemplo ha llevado los actos de más de una treintena de cofradías por streaming. Es la Semana Santa que ha dejado el #coronavirus ",,@Blogosur,#coronavirus,1249463164183420938,https://twitter.com/RaulRamirez_83/status/1249463164183420938
2020-04-12 20:53:20,Viva_Sevilla,,0,1,0,"Contramano: El coronavirus y el dinero de la Semana Santa y Feria ",,,,1249440489683783681,https://twitter.com/Viva_Sevilla/status/1249440489683783681
2020-04-12 20:10:14,7TVSevilla,,0,1,1,"Contramano: El coronavirus y el dinero de la Semana Santa y Feria https://ift.tt/2XvjyS8",,,,1249429643574284288,https://twitter.com/7TVSevilla/status/1249429643574284288
